"Auto Correct Onsite Search - Phrase (eVar) (evar103)","Onsite Search - Phrase without Campaign (eVar) (evar89)","Auto Correct Onsite Search - Phrase (eVar) Instance (Instance of evar103)"
"(bosch akkuschrauber)\\ 18v","boschakkuschrauber 18v",5
"(bosch akkuschrauber)\\ set","boschakuschrauber set",1
"(bosch betonbohrer)","boschbetonbohrer",4
"(bosch blau)","boschblau",26
"(bosch blau)\\ 12","boschblau 12",1
"(bosch blau)\\ 12v","boschblau 12v",1
"(bosch blau)\\ 12v\\ leuchten","boschblau 12v leuchte",1
"(bosch blau)\\ akku","boschblau akku",1
"(bosch blau)\\ stichsäge","boschblau stichsäge",1
"(bosch bohrhammer)","boachbohrhammer",5
"(bosch bohrhammer)","boschbohrhammer",11
"(bosch bohrhammer)","boschborhammer",1
"(bosch bohrhammer)\\ akku","boschbohrhammer akku",4
"(bosch exzenterschleifer)","boschexenterschleifer",1
"(bosch mähroboter)","boschmähroboter",2
"(bosch oberfräse)","boschoberfräase",3
"(bosch schleifplatte)","boschsvhleifplatte",2
"(bosch smarthome)","boschsmarthome",4
"(bosch stichsäge)","bischstichsäge",1
"(bosch säbelsäge)","boschsebelsäge",1
"(bosch winkelschleifer)","boschwineklschleifer",1
"(brandschutz schaum)","bradschutzschaum",1
"(brandschutz schaum)","branddchutzschaum",1
"(brandschutz schaum)","brandschutzschasum",1
"(brunnen schaum)","btunnenschaum",2
"(brunnen schaum)","bunnenschaum",3
"(buchsbaum erde)","buchsbaumerde",2
"(camargue badewanne)","camarguebadewanne",1
"(camping toilette)","campingbtoilette",1
"(clear box)\\ decke","clearbox decke",2
"(clear box)\\ xxm","clearbox xxm",3
"(co warnmelder)","co2warnmelder",1
"(collomix mörtelrührer)","collomixmörtelrührer",1
"(conacord zurrschiene)","conacordzurrschiene",1
"(d ring)","doping",1
"(d ring)","dorina",1
"(d ring)","during",1
"(d ring)\\ rohr","dining room",3
"(dach blech)","dachbeblech",1
"(dach blech)","dachfblech",2
"(dach blech)","dachjblech",1
"(dach platten)","dachbplatten",2
"(dachrinne endstück)\\ 125","dachrinnendstück 125",1
"(dachrinnen endstücke)","dachhrinnenendstücke",1
"(dachrinnen halter)","dachrinnennhalter",2
"(dachrinnen schutz)","dachrinnenenschutz",1
"(dampf reiniger)","dampftreinieger",1
"(daten kabel)\\ 7","datenkabel 7",1
"(daten kabel)\\ cat\\ 7","datenkabel cat 7",5
"(daten kabel)\\ kat.7","datenkabel kat.7",1
"(daten kabel)\\ kat.\\ 7","datenkabel kat. 7",1
"(daten kabel)\\ sticker","datenkabel stecker",1
"(dauerbrand ofen)","dauerbranntofen",3
"(decken lampe)","deckenllampe",10
"(decken leuchte)","deckeneleuchte",1
"(decken leuchten)","deckeebleuchten",1
"(decken winkel)\\ 1\\\\\\/2","deckenwinkel 1/2",1
"(decken winkel)\\ 3\\\\\\/4","deckenwinkel 3/4",1
"(decken winkel)\\ abdeckung","deckenwinkel  abdeckung",2
"(decken winkel)\\ bleche","deckenwinkel blende",1
"(decken winkel)\\ halterung","deckenwinkel halterung",1
"(decken winkel)\\ verzinkt","deckenwinkel verzinkt",1
"(deko balken)","dekorbalken",30
"(deko haken)","dekorhaken",1
"(deko haken)\\ zum\\ klemme","dekohaken zum klemmen",1
"(deko steine)","dekonsteine",3
"(deko steine)\\ anthrazit","dekorsteine anthrazit",1
"(deko steine)\\ weiß","dekosteine weis",3
"(deko säule)","dekorsäulen",1
"(deko zweige)\\ mit\\ led","dekozweige mit led",2
"(destilliertes wasser)","destellierteswasser",2
"(diamant trennscheibe)","diamantentrennscheibe",9
"(dicht schelle)","dichtschelele",1
"(dicht schelle)","dichtschelle",111
"(dicht schelle)","dichtschellee",1
"(dicht schelle)","dichtschellen",6
"(dicht schelle)","dichtshelle",1
"(dicht schelle)\\ 1\\ roll","dichtschelle 1 zoll",1
"(dichtband profi)","dichtbandprofi",1
"(dichtungs band)","dichtungssband",2
"(dichtungs set)\\ ip\\ 44","dichtungsset ip 44",3
"(dichtungs set)\\ siphon","dichtungsset syphon",1
"(digitaler messschieber)","digitalermessschieber",1
"(doppel schalter)\\ aufputz","doppelschalter aufputz",3
"(doppel schalter)\\ feuchtraum","doppelschalter feutraum",1
"(doppel schleifer)","doppelchleifer",1
"(doppel schleifer)","dopplenschleifer",2
"(doppel waschbecken)","doppletwaschbecken",1
"(doppel waschbecken)\\ 100","doppelwaschbecken 100",4
"(doppel waschbecken)\\ 120","doppelwaschbecken 120",9
"(doppel waschbecken)\\ ecke","doppelwaschbecken eckig",1
"(doppel waschbecken)\\ küche","doppelwaschbecken küche",1
"(doppel wechselschalter)","doppellwechselschalter",1
"(doppelstabmatten zaun)","doppelstabmattenazaun",1
"(drahtseil klemme)","drahtseillklemme",2
"(drainage schotter)","drainagenschotter",1
"(draußen lampe)","draußenlampen",1
"(drehmoment schlüssel)","drehmomentenschlüssel",22
"(drehtor antrieb)","drehtotantrieb",3
"(drehtor antrieb)","drshtorantrieb",1
"(dremel messingbürste)","dremelmessingbürste",1
"(druck reiniger)\\ khb\\ 5","druckreiniger khb 5",1
"(druck schalter)","drucktschalter",1
"(druck schalter)\\ 2300","druckschalter 230v",1
"(druck schlauch)","drucklschlauch",1
"(druck schlauch)\\ 3\\\\\\/8","druckschlauch 3/8",1
"(druck schlauch)\\ reiniger","druckschlauch reiniger",2
"(druck schlauch)\\\\\\","druckschlauch1&quot;",1
"(dunst abzugshaube)","dunstaanzugshaube",5
"(durchlauf erhitzer)","durchlaufererhitzer",2
"(dusch ablauf)\\ 1","duschablauf 1",1
"(dusch ablauf)\\ 48\\ ke","duschablauf 48 ke",1
"(dusch ablauf)\\ 50","duschablauf 50",1
"(dusch ablauf)\\ 5000","duschablauf 50mm",2
"(dusch ablauf)\\ 52","duschablauf 52",1
"(dusch ablauf)\\ aco","duschablauf aco",1
"(dusch ablauf)\\ dn\\ 80","duschablauf dn 80",1
"(dusch ablauf)\\ rand\\ 6000","duschablauf rund 60mm",1
"(dusch ablauf)\\ rinne","duschablauf rinne",1
"(dusch ablauf)\\ rohr","duschablauf rohr",2
"(dusch ablauf)\\ senkrecht","duschablauf senkrecht",4
"(dusch abzieher)\\ laken","duschabzieher haken",1
"(dusch element)\\ 120\\ 4120","duschelement 120 x120",3
"(dusch element)\\ 900x1500","duschelement 900x1500",1
"(dusch element)\\ bauplatten","duschelement bauplatte",1
"(dusch element)\\ geo","duschelement geo",1
"(dusch element)\\ mit\\ rinne","duschelement mit rinne",1
"(dusch kabinen)","duschakabinnen",9
"(dusch schlauch)","duschlschauch",3
"(dusch schlauch)","duschsschlauch",1
"(dusch schlauch)\\ 1\\ meter","duschschlauch 1 meter",1
"(dusch schlauch)\\ 20\\ cm","duschschlauch 20 cm",6
"(dusch schlauch)\\ 2\\ m","duschschlauch 2 m",1
"(dusch schlauch)\\ 2\\ meter","duschschlauch 2 meter",1
"(dusch schlauch)\\ adapter","duschschlauch adapter",1
"(dusch schlauch)\\ duschekopf","duschschlauch duschkopf",1
"(dusch schlauch)\\ kupfer","duschschlauch kuüfer",1
"(dusch schlauch)\\ und\\ topf","duschschlauch und kopf",5
"(dusch schlauch)\\ variabel","duschschlauch variabel",1
"(dusch schlauch)\\ winkel","duschschlauch winkel",2
"(dusch trennwand)","duschabtrennwand",2
"(dusch trennwand)\\ 80","duschktrennwand 80",1
"(dusch trennwand)\\ 80x100cm","duschtrennwand 80x100cm",6
"(dusch trennwand)\\ 90×99","duschtrennwand 90&times;99",1
"(dusch trennwand)\\ badewanne","duschtrennwand badewann",2
"(dusch trennwand)\\ niesche","duschtrennwand niesche",8
"(dusch trennwand)\\ tür","duschtrennwand tür",3
"(dusch vorhangstange)","duschsvorhangstangwe",2
"(dusch wand)","dusxhwwand",1
"(dusch wand)\\ 120x195","duschwawand 120x195",5
"(duschvorhang ringe)\\ rand","duschvorhangringe rund",1
"(dämmung rolladen)","dämmungrolladen",2
"(e mobilität)","emobilität",2
"(easy wall)","eazywall",1
"(eck leiste)","eckkleiste",1
"(eck leiste),\\ holz","eckleiste, holz",1
"(eck leiste)\\ 10\\ mm","eckleiste 10 mm",6
"(eck leiste)\\ 18","eckleiste 18",1
"(eck leiste)\\ 32","eckleiste 32",1
"(eck leiste)\\ 50","eckleiste 50",6
"(eck leiste)\\ 50x50mm","eckleiste 50x50mm",3
"(eck leiste)\\ alu","eckleiste alu",15
"(eck leiste)\\ alu\\ fliesen","eckleiste alu fliesen",2
"(eck leiste)\\ aus\\ holz","eckleiste aus holz",4
"(eck leiste)\\ becken","eckleiste decken",1
"(eck leiste)\\ bleche","eckleiste buche",1
"(eck leiste)\\ decke","eckleiste  decke",1
"(eck leiste)\\ decke","eckleiste decke",4
"(eck leiste)\\ deckenpaneel","eckleiste deckenpane",1
"(eck leiste)\\ edelstahl","eckleiste edelstahl",4
"(eck leiste)\\ fichte","eckleiste fichte",17
"(eck leiste)\\ fichte","eckleiste ficjte",2
"(eck leiste)\\ holz","",3
"(eck leiste)\\ holz","eckleiste holz",48
"(eck leiste)\\ kleber","eckleiste kiefer",3
"(eck leiste)\\ küche","eckleiste  küche",3
"(eck leiste)\\ küche","eckleiste küche",5
"(eck leiste)\\ maler","eckleiste mauer",2
"(eck leiste)\\ mauer","eckleiste maler",1
"(eck leiste)\\ messing","eckleiste messing",3
"(eck leiste)\\ nut","eckleiste nut",1
"(eck leiste)\\ profil","eckleiste profil",2
"(eck leiste)\\ pvc","eckleiste pvc",9
"(eck leiste)\\ pvc\\ bleche","eckleiste pvc buche",1
"(eck leiste)\\ rechteckige","eckleiste rechteckzig",2
"(eck leiste)\\ silikon","eckleiste silikon",1
"(eck leiste)\\ tapete","eckleiste tapete",3
"(eck leiste)\\ treppe","eckleiste treppe",11
"(eck leiste)\\ trockenbau","eckleiste trockenbau",2
"(eck leiste)\\ türen","eckleiste türen",1
"(eck leiste)\\ weiß","eckleiste eeiß",1
"(eck leiste)\\ winkel","eckleiste winkel",2
"(eck leiste)\\ winkel\\ holz","eckleiste winkel holz",5
"(edelstahl schraube)","edelstahlschraube",1
